head	relation	tail
DB00989	targets	P06276
DB00005	targets	P02746
DB04417	targets	P19961
DB05501	targets	P51681
DB03731	targets	P05089
DB03346	targets	P49888
DB06954	targets	P00918
DB00795	targets	P37231
DB00569	targets	P00742
DB07525	targets	P11362
DB00897	targets	P48169
DB00199	targets	P24462
DB05241	targets	P42338
DB00421	targets	O60840
DB05130	targets	P41597
DB01667	targets	P00491
DB07003	targets	P35228
DB00586	targets	P23219
DB06216	targets	P21728
DB00530	targets	P20815
DB00980	targets	P48039
DB01834	targets	P09488
DB00688	targets	P10632
DB01296	targets	P01579
DB01361	targets	P33261
DB01520	targets	Q12879
DB08208	targets	Q02750
DB00241	targets	P78334
DB00126	targets	O00469
DB00349	targets	P20813
DB02142	targets	Q16773
DB08162	targets	Q13464
DB00777	targets	P11229
DB00904	targets	P24462
DB00668	targets	P18089
DB01239	targets	P08172
DB06791	targets	P35346
DB01064	targets	P13945
DB06616	targets	P08631
DB03575	targets	Q99720
DB00119	targets	P11177
DB01114	targets	P20815
DB00188	targets	P10632
DB00039	targets	P22455
DB00199	targets	P08183
DB00582	targets	P24462
DB01238	targets	P35348
DB00248	targets	P41595
DB01544	targets	P33261
DB03128	targets	P22303
DB04901	targets	P33681
DB06292	targets	P08684
DB00915	targets	P14416
DB01224	targets	P28223
DB01752	targets	Q99873
DB08530	targets	P27487
DB00108	targets	P05362
DB01325	targets	P00918
DB02565	targets	Q9BY41
DB00997	targets	P16152
DB05070	targets	P41594
DB00071	targets	P48745
DB04770	targets	O00764
DB01174	targets	P10632
DB00679	targets	P10632
DB07644	targets	Q96C86
DB00334	targets	P20309
DB07548	targets	P00734
DB02762	targets	P12931
DB00854	targets	P41143
DB00221	targets	P08588
DB00805	targets	P11229
DB01054	targets	P24462
DB07902	targets	P53582
DB07228	targets	O14757
DB00690	targets	P11509
DB00114	targets	P11217
DB01621	targets	P08684
DB04767	targets	P08709
DB00588	targets	P08684
DB01168	targets	Q16678
DB00348	targets	P32754
DB00295	targets	P10632
DB00435	targets	P05177
DB00393	targets	Q13698
DB06148	targets	P28223
DB05239	targets	Q02750
DB01179	targets	P07437
DB07778	targets	O14957
DB05431	targets	P09917
DB07208	targets	P37231
DB00818	targets	P08684
DB00157	targets	P07195
DB01050	targets	P23219
DB02078	targets	P06241
DB00176	targets	P20815
DB06923	targets	P07477
DB03385	targets	P35218
DB00543	targets	Q9H3N8
DB07195	targets	Q15596
DB06144	targets	P14416
DB05294	targets	Q13882
DB00125	targets	P29474
DB00491	targets	Q8TET4
DB00726	targets	P08588
DB00754	targets	P33261
DB00046	targets	P06213
DB03088	targets	O43612
DB08232	targets	P13726
DB01595	targets	P28476
DB08513	targets	P35568
DB07126	targets	P20248
DB00142	targets	Q14957
DB06414	targets	P11712
DB00119	targets	O15403
DB00745	targets	P33261
DB01028	targets	P11712
DB06843	targets	Q08462
DB00945	targets	P11712
DB03365	targets	P24941
DB02616	targets	P00813
DB03707	targets	P29474
DB07068	targets	P23467
DB00170	targets	P00742
DB01071	targets	P08684
DB00342	targets	P08173
DB00574	targets	P10635
DB07608	targets	Q13627
DB01215	targets	Q9UN88
DB07149	targets	P49841
DB03893	targets	P04406
DB00163	targets	P78417
DB00824	targets	P29275
DB00127	targets	Q96F10
DB03381	targets	P07108
DB00216	targets	P28221
DB00918	targets	P31513
DB02659	targets	P22830
DB08018	targets	P29474
DB00321	targets	P08908
DB08157	targets	P00915
DB00925	targets	P07550
DB08236	targets	O15144
DB01132	targets	P08684
DB06803	targets	P11712
DB04471	targets	P03372
DB01156	targets	P11509
DB04295	targets	P11217
DB00404	targets	P14867
DB08059	targets	P48736
DB00142	targets	O00341
DB00675	targets	Q04759
DB01889	targets	Q14994
DB03721	targets	P11226
DB08159	targets	P11387
DB00912	targets	P37231
DB05166	targets	Q8TDV5
DB07982	targets	P24941
DB00962	targets	P30536
DB04089	targets	P00918
DB07557	targets	P51857
DB06831	targets	O00329
DB07629	targets	P00742
DB00457	targets	P35368
DB00216	targets	P28222
DB00857	targets	P08684
DB01839	targets	P00488
DB07101	targets	Q02750
DB00641	targets	P08684
DB00427	targets	P35367
DB00934	targets	P28223
DB00197	targets	P20815
DB01392	targets	P41595
DB08737	targets	P03372
DB08896	targets	P07949
DB00482	targets	P08684
DB00421	targets	Q9H8P0
DB01038	targets	P21918
DB01959	targets	Q07343
DB00246	targets	P18825
DB04566	targets	Q8N142
DB09128	targets	P08908
DB07049	targets	P28845
DB00703	targets	P00918
DB08515	targets	P60900
DB00628	targets	P18505
DB01105	targets	Q01959
DB01567	targets	P34903
DB08930	targets	P20815
DB00499	targets	P20815
DB01017	targets	P14780
DB08330	targets	Q9UDW1
DB09076	targets	P20309
DB00295	targets	P16662
DB01589	targets	P18505
DB00773	targets	P08684
DB01028	targets	P98194
DB01019	targets	P08172
DB04885	targets	P46098
DB01430	targets	P05023
DB05161	targets	P24158
DB03023	targets	P07948
DB08453	targets	Q9UDW1
DB00446	targets	P08684
DB05404	targets	P04637
DB06663	targets	P35346
DB05014	targets	P36888
DB01227	targets	P30926
DB04821	targets	P05164
DB00620	targets	P08684
DB01132	targets	P33261
DB01238	targets	P34969
DB00718	targets	P22392
DB07556	targets	P03956
DB00128	targets	O75746
DB00753	targets	P98194
DB02494	targets	P55769
DB00780	targets	Q16853
DB00072	targets	O75015
DB00758	targets	P10632
DB00679	targets	P05181
DB03331	targets	O14556
DB06933	targets	P53779
DB01142	targets	P18825
DB01204	targets	P08684
DB00752	targets	P21397
DB00582	targets	P31513
DB08124	targets	P24941
DB06898	targets	P03372
DB08299	targets	Q08499
DB01136	targets	P35368
DB07223	targets	P07858
DB08897	targets	P08173
DB00171	targets	Q9Y4W6
DB00675	targets	P17252
DB00599	targets	Q16445
DB00668	targets	P18825
DB00157	targets	O75251
DB00108	targets	P12314
DB00543	targets	P35368
DB00467	targets	P05177
DB00160	targets	Q9UHI5
DB08553	targets	P15056
DB04645	targets	P11217
DB01184	targets	P20813
DB07574	targets	P68363
DB00751	targets	P35348
DB07446	targets	P39900
DB08899	targets	P10632
DB00805	targets	P31645
DB00668	targets	P05177
DB00682	targets	P33260
DB00755	targets	P00352
DB08624	targets	P00734
DB00041	targets	P47712
DB03106	targets	P04062
DB08221	targets	Q02763
DB00872	targets	P37288
DB07860	targets	P61925
DB04975	targets	P20813
DB08236	targets	O15143
DB00856	targets	P47989
DB00248	targets	P28223
DB00580	targets	P08684
DB03849	targets	Q07343
DB00495	targets	P04183
DB01159	targets	P03886
DB01225	targets	P00742
DB04077	targets	Q14643
DB07771	targets	P49354
DB00201	targets	Q13946
DB00683	targets	P05181
DB07877	targets	P07900
DB01248	targets	P11137
DB00514	targets	P13498
DB00796	targets	P35503
DB01996	targets	P45452
DB00829	targets	P08684
DB04967	targets	P11388
DB00162	targets	Q8NBN7
DB00707	targets	P12314
DB03381	targets	P08100
DB01591	targets	P20309
DB05715	targets	Q16739
DB00471	targets	P11712
DB08564	targets	P12931
DB00157	targets	O43920
DB00641	targets	P33261
DB00031	targets	P05120
DB01229	targets	P11137
DB00580	targets	P11712
DB00532	targets	P10635
DB00774	targets	Q13621
DB07676	targets	P49841
DB00501	targets	P11712
DB00794	targets	Q99928
DB00248	targets	P08913
DB00114	targets	P13196
DB00142	targets	P48664
DB01275	targets	P13674
DB05655	targets	Q13639
DB06836	targets	Q8NEB9
DB00996	targets	P54289
DB00112	targets	P12314
DB00215	targets	P05177
DB02379	targets	Q6L8H2
DB05743	targets	P28222
DB00188	targets	Q13200
DB00005	targets	P31994
DB05075	targets	P35968
DB00999	targets	P55017
DB01559	targets	P28476
DB01341	targets	P14867
DB00643	targets	P08684
DB01424	targets	P10635
DB07156	targets	P08069
DB00237	targets	P43681
DB01567	targets	P78334
DB06589	targets	P22607
DB00683	targets	P28476
DB00936	targets	P35354
DB04786	targets	P14555
DB08132	targets	P24941
DB08773	targets	P03372
DB00320	targets	P08684
DB00458	targets	P14416
DB01227	targets	P35372
DB08155	targets	P00915
DB01410	targets	P23141
DB00514	targets	Q99720
DB00705	targets	P20815
DB05026	targets	P28223
DB01171	targets	P33261
DB02569	targets	P15531
DB04054	targets	P07900
DB00893	targets	P02792
DB00247	targets	P34969
DB01645	targets	P03372
DB00590	targets	P25100
DB04821	targets	Q01959
DB00381	targets	Q00975
DB07710	targets	P00918
DB00358	targets	P10635
DB02325	targets	Q9BV57
DB08070	targets	P61925
DB04938	targets	P03372
DB00157	targets	Q16798
DB00054	targets	P05106
DB01905	targets	P00749
DB00333	targets	P05177
DB09028	targets	Q15825
DB08478	targets	P04818
DB01915	targets	P08263
DB00805	targets	P21397
DB00987	targets	P27707
DB07543	targets	P07550
DB00143	targets	P48637
DB07574	targets	Q9H169
DB00273	targets	P47870
DB00688	targets	O00748
DB00220	targets	P20815
DB00714	targets	P21918
DB01418	targets	P08684
DB00773	targets	P09211
DB00393	targets	P20815
DB04246	targets	P07477
DB05389	targets	Q86VB7
DB07683	targets	P39900
DB01238	targets	P28223
DB01216	targets	P31213
DB00571	targets	P07550
DB00002	targets	P31995
DB01102	targets	P08588
DB02078	targets	P35080
DB04953	targets	O43526
DB00549	targets	Q9Y271
DB00237	targets	P18507
DB00540	targets	P18825
DB00546	targets	P28476
DB00647	targets	P35372
DB06927	targets	Q15788
DB07763	targets	P08574
DB01107	targets	P18505
DB01071	targets	P35367
DB08818	targets	Q9BZV3
DB09068	targets	P33261
DB01275	targets	Q16853
DB00839	targets	P48048
DB02463	targets	P07477
DB03575	targets	P20813
DB01128	targets	P11712
DB00209	targets	P11229
DB00661	targets	P31645
DB00898	targets	P40394
DB04988	targets	P00533
DB07087	targets	Q15596
DB00842	targets	P24462
DB08745	targets	P00742
DB02269	targets	P07477
DB04442	targets	P07477
DB02546	targets	Q92769
DB00665	targets	P33261
DB05147	targets	P68371
DB00668	targets	P08913
DB08597	targets	Q04771
DB01032	targets	Q96RD7
DB01567	targets	P28472
DB08819	targets	P43088
DB06148	targets	P31645
DB00571	targets	P24462
DB06995	targets	P08581
DB02701	targets	Q10588
DB03950	targets	P00918
DB00107	targets	P01178
DB07852	targets	P20248
DB01619	targets	P35367
DB01045	targets	P11509
DB08566	targets	P17538
DB00242	targets	Q9NRF9
DB00312	targets	Q13224
DB04416	targets	P08254
DB06616	targets	P11274
DB00641	targets	P05107
DB06809	targets	P61073
DB00785	targets	P08173
DB01614	targets	P14416
DB00458	targets	P10635
DB08870	targets	P20815
DB06856	targets	P00749
DB00380	targets	Q02880
DB08515	targets	Q99436
DB02812	targets	P07477
DB00150	targets	P20711
DB00875	targets	P21728
DB00402	targets	Q99928
DB03344	targets	O43739
DB00397	targets	P08588
DB01565	targets	P41145
DB00612	targets	P08684
DB00449	targets	P06276
DB00866	targets	P07550
DB00726	targets	P35367
DB04297	targets	Q9BY41
DB08477	targets	P00742
DB00398	targets	P11362
DB00242	targets	Q7LG56
DB01355	targets	P36544
DB05740	targets	Q15822
DB00773	targets	P22309
DB01068	targets	P08684
DB01348	targets	P12821
DB00783	targets	Q16678
DB00114	targets	Q96GA7
DB00917	targets	P05108
DB00281	targets	P10632
DB00334	targets	P18825
DB01136	targets	P19320
DB01346	targets	P42262
DB07997	targets	P17612
DB00898	targets	P04798
DB01062	targets	P10635
DB01024	targets	O60656
DB09272	targets	P35372
DB02615	targets	P03372
DB01248	targets	P08684
DB00666	targets	P30968
DB00683	targets	O14764
DB07711	targets	P00813
DB02915	targets	P20248
DB07559	targets	Q02127
DB01079	targets	P05181
DB04059	targets	P00749
DB00628	targets	P47870
DB01007	targets	Q16850
DB06867	targets	Q13526
DB00155	targets	P35228
DB00359	targets	P11712
DB02058	targets	P21802
DB00404	targets	P20815
DB03861	targets	Q9Y691
DB00675	targets	P31513
DB07584	targets	P49841
DB00740	targets	P04798
DB04970	targets	P08908
DB04447	targets	P23284
DB07853	targets	Q9H2G2
DB08583	targets	P00519
DB00393	targets	O60840
DB03059	targets	P30084
DB07374	targets	P62913
DB08162	targets	P17612
DB02377	targets	P00491
DB01250	targets	P01579
DB00421	targets	P19099
DB01222	targets	P04150
DB04927	targets	Q14534
DB04792	targets	P07477
DB00929	targets	P43116
DB04522	targets	P17612
DB01236	targets	Q16445
DB01017	targets	P01584
DB01185	targets	P03372
DB03958	targets	Q96C86
DB04794	targets	P33261
DB05147	targets	Q6PEY2
DB00359	targets	P08684
DB00005	targets	P01375
DB00131	targets	Q08828
DB03019	targets	P24941
DB07689	targets	P0CG22
DB00157	targets	P43353
DB01136	targets	P11712
DB00199	targets	P02768
DB00952	targets	P30939
DB02659	targets	P10176
DB04957	targets	P08684
DB08916	targets	Q15303
DB02422	targets	Q9UKM7
DB00458	targets	P20309
DB00911	targets	P08684
DB00829	targets	P11712
DB00665	targets	P10275
DB03703	targets	P00325
DB08879	targets	Q9Y275
DB02260	targets	P13716
DB00586	targets	O43525
DB05024	targets	P11473
DB00794	targets	P10632
DB00540	targets	P31645
DB00143	targets	P09210
DB00114	targets	Q6ZQY3
DB04841	targets	O95180
DB00738	targets	P10635
DB00786	targets	P03956
DB04799	targets	P00156
DB04796	targets	P11473
DB01136	targets	P04798
DB03483	targets	P18031
DB08039	targets	Q13557
DB01100	targets	P33261
DB00116	targets	P48728
DB03581	targets	P06744
DB01238	targets	P35462
DB03594	targets	P00918
DB01041	targets	P05177
DB00704	targets	P22309
DB04803	targets	P09601
DB00268	targets	P41595
DB00701	targets	P11712
DB00448	targets	P20648
DB00463	targets	P28472
DB01445	targets	P27338
DB01161	targets	Q01959
DB00583	targets	P23141
DB01558	targets	P47870
DB04232	targets	P08254
DB07834	targets	Q16539
DB06148	targets	P08913
DB00586	targets	P78348
DB08342	targets	Q9Y296
DB00434	targets	P28223
DB00050	targets	P22888
DB00777	targets	P28223
DB00055	targets	P05121
DB03127	targets	P07477
DB02938	targets	P04054
DB04132	targets	P09211
DB00337	targets	P08684
DB00834	targets	P08684
DB05066	targets	P01375
DB08912	targets	P08684
DB00342	targets	P10635
DB01589	targets	P31644
DB02602	targets	P00918
DB00862	targets	P08684
DB00334	targets	P35368
DB00321	targets	Q9UK17
DB01588	targets	P47869
DB00157	targets	P80365
DB00720	targets	P12235
DB01624	targets	P21918
DB04946	targets	P10635
DB02908	targets	P12931
DB00641	targets	P04035
DB01241	targets	P11712
DB01138	targets	P11712
DB02336	targets	P12931
DB01002	targets	Q9Y5Y9
DB00463	targets	P42262
DB06741	targets	O60656
DB01301	targets	P08684
DB00237	targets	P31644
DB01017	targets	P42574
DB01394	targets	P07437
DB03598	targets	P00918
DB00313	targets	P20813
DB00857	targets	P11712
DB00142	targets	P39086
DB01418	targets	P11712
DB04940	targets	Q9H4B7
DB00114	targets	P23378
DB01939	targets	P07477
DB04971	targets	Q07869
DB00786	targets	P09237
DB00530	targets	P10632
DB04896	targets	Q13224
DB00075	targets	P02745
DB03316	targets	P10600
DB00439	targets	P11712
DB00363	targets	P21728
DB00365	targets	P08684
DB00786	targets	P51511
DB01238	targets	P08912
DB00675	targets	Q05513
DB02039	targets	Q92993
DB04855	targets	P08684
DB04655	targets	P50135
DB00829	targets	P78334
DB01095	targets	P08684
DB00531	targets	P24462
DB00142	targets	P48058
DB01242	targets	P33261
DB07470	targets	Q7Z406
DB08082	targets	P27338
DB00428	targets	P05177
DB00098	targets	P31994
DB08918	targets	P10632
DB00134	targets	Q9UJ68
DB00074	targets	P14784
DB06623	targets	P08913
DB07876	targets	P61925
DB03814	targets	P09417
DB00408	targets	P50406
DB05492	targets	P28335
DB06262	targets	P13945
DB00142	targets	O60391
DB04958	targets	P20273
DB06756	targets	O43272
DB00483	targets	P08172
DB00673	targets	P24462
DB00009	targets	P00747
DB04147	targets	P01764
DB00767	targets	P08912
DB00949	targets	P08684
DB04474	targets	P31151
DB07164	targets	P24941
DB08174	targets	P00742
DB06800	targets	P41145
DB08635	targets	P01768
DB08482	targets	P03956
DB07484	targets	P15085
DB01213	targets	P05181
DB07179	targets	P24941
DB01189	targets	P34903
DB02866	targets	P00918
DB07778	targets	P22695
DB00246	targets	P50406
DB04678	targets	P16442
DB08896	targets	P04629
DB00321	targets	O43526
DB06987	targets	P02788
DB00544	targets	Q16831
DB06148	targets	P05177
DB00216	targets	P23219
DB07763	targets	P47985
DB05335	targets	P35354
DB04827	targets	Q06278
DB00226	targets	P23975
DB03033	targets	P45452
DB07712	targets	Q15596
DB06757	targets	P21399
DB02427	targets	P00374
DB01045	targets	P33261
DB01411	targets	P11712
DB00082	targets	P10912
DB00321	targets	P08173
DB06774	targets	P21397
DB06894	targets	O00519
DB00358	targets	P08684
DB01296	targets	Q00653
DB01161	targets	Q8TCU5
DB04491	targets	P27487
DB06702	targets	P10635
DB00013	targets	P05154
DB00623	targets	P10635
DB07524	targets	P11309
DB00805	targets	P22303
DB00594	targets	P78348
DB00675	targets	Q15125
DB04315	targets	P41091
DB01218	targets	Q12809
DB00921	targets	P24462
DB00418	targets	Q13002
DB00943	targets	Q9HB55
DB00945	targets	P35354
DB07954	targets	Q08499
DB08818	targets	Q07021
DB05232	targets	P35498
DB00808	targets	P15382
DB00466	targets	P04798
DB00408	targets	P08908
DB03309	targets	O00204
DB00398	targets	P15056
DB01694	targets	Q9P2W7
DB06151	targets	Q9UPY5
DB07648	targets	O14757
DB02230	targets	P00491
DB08901	targets	P35968
DB06712	targets	P54289
DB07486	targets	P20701
DB01962	targets	P10721
DB05487	targets	Q00653
DB06770	targets	P20813
DB00458	targets	P24462
DB01863	targets	Q06187
DB03788	targets	P10828
DB00811	targets	P49902
DB00174	targets	Q99624
DB08771	targets	P28845
DB00901	targets	P07550
DB00199	targets	Q16850
DB00421	targets	Q9NY47
DB02153	targets	P00390
DB07382	targets	O75460
DB00413	targets	P08908
DB00734	targets	P35462
DB01535	targets	P41143
DB00246	targets	P35368
DB07947	targets	P31751
DB00505	targets	P20309
DB00349	targets	P08684
DB01388	targets	O60840
DB06080	targets	P10721
DB00347	targets	P05181
DB06741	targets	O15399
DB00234	targets	P10635
DB00268	targets	P08684
DB00174	targets	Q7L266
DB00273	targets	P00918
DB01031	targets	P00918
DB01863	targets	Q99418
DB03419	targets	Q9NWZ5
DB01045	targets	Q16850
DB00228	targets	Q8N1C3
DB00806	targets	P30542
DB00133	targets	P35520
DB02077	targets	P29475
DB01223	targets	Q14432
DB08838	targets	P18825
DB00540	targets	O00264
DB00290	targets	P18858
DB06144	targets	P10635
DB01183	targets	P16220
DB09029	targets	Q16552
DB03709	targets	P00747
DB00852	targets	P08913
DB02491	targets	P21802
DB00334	targets	P08908
DB01087	targets	P05177
DB03086	targets	P50579
DB09080	targets	P10632
DB00909	targets	Q06278
DB00477	targets	P50406
DB06663	targets	P30874
DB01595	targets	P18507
DB03397	targets	P26572
DB00142	targets	Q5TDP6
DB00481	targets	Q06278
DB00508	targets	P41595
DB01097	targets	Q14289
DB01452	targets	P35372
DB03980	targets	Q16539
DB03588	targets	P07858
DB00273	targets	P28472
DB03876	targets	P07477
DB02952	targets	P06850
DB04272	targets	P07360
DB08143	targets	P00742
DB00128	targets	P07998
DB01173	targets	Q05586
DB00390	targets	P08684
DB01544	targets	P05181
DB01148	targets	P08172
DB00531	targets	P11509
DB00785	targets	P08912
DB02758	targets	Q9NZK7
DB01217	targets	P05177
DB01403	targets	P08172
DB01427	targets	P01375
DB07763	targets	P00156
DB07078	targets	O14757
DB00523	targets	P13631
DB04903	targets	P34903
DB08699	targets	Q13555
DB00157	targets	P03897
DB00421	targets	P54289
DB00336	targets	P10635
DB00363	targets	P28223
DB00131	targets	P07741
DB01863	targets	Q9UN19
DB08756	targets	P61925
DB00835	targets	P20813
DB00714	targets	P18825
DB00188	targets	P08684
DB03963	targets	P29474
DB04669	targets	P24941
DB01128	targets	P10635
DB00607	targets	P08684
DB03929	targets	Q05586
DB07039	targets	P10275
DB00268	targets	P21917
DB00774	targets	P00915
DB02027	targets	P29474
DB00909	targets	Q9Y2D0
DB00432	targets	P04183
DB08054	targets	P12931
DB08915	targets	P37231
DB00163	targets	P67775
DB01110	targets	P05181
DB01016	targets	P11712
DB01104	targets	P27338
DB08593	targets	P18031
DB01708	targets	O14764
DB07480	targets	P18031
DB01392	targets	P08913
DB05831	targets	P16422
DB01356	targets	P42263
DB02552	targets	O95749
DB00880	targets	P00918
DB00801	targets	P24046
DB02338	targets	Q12882
DB01064	targets	Q92569
DB00370	targets	P28223
DB03476	targets	P00749
DB09080	targets	P11712
DB00252	targets	P11712
DB01011	targets	P05181
DB00543	targets	P21728
DB00783	targets	O75469
DB01396	targets	P05108
DB04761	targets	P45452
DB03704	targets	P11766
DB07025	targets	O14757
DB00514	targets	P19878
DB08007	targets	Q9UNI1
DB01205	targets	P78334
DB00625	targets	P20813
DB06804	targets	P35354
DB08911	targets	P10632
DB07681	targets	P06276
DB00848	targets	P32297
DB07715	targets	P68400
DB00700	targets	P20815
DB07164	targets	P20248
DB00115	targets	Q9UBK8
DB00313	targets	Q02218
DB00822	targets	P08684
DB01008	targets	Q99735
DB02020	targets	P15121
DB02998	targets	Q15596
DB01359	targets	P07550
DB08689	targets	P31040
DB04224	targets	Q9NZD2
DB05013	targets	Q05655
DB09016	targets	P31645
DB00252	targets	P35498
DB00543	targets	P10635
DB00829	targets	P14867
DB00228	targets	P18505
DB01392	targets	P18825
DB06832	targets	Q15788
DB00300	targets	P15531
DB08893	targets	P13945
DB00655	targets	P20813
DB01354	targets	P36544
DB08915	targets	Q07869
DB07009	targets	Q92731
DB01054	targets	P54289
DB01406	targets	P30968
DB00784	targets	P10632
DB09054	targets	P08684
DB07506	targets	P15085
DB01089	targets	Q05940
DB06209	targets	P20813
DB00866	targets	P08908
DB01623	targets	P21728
DB04395	targets	P23919
DB00260	targets	P20711
DB00142	targets	O14841
DB00863	targets	P33261
DB03132	targets	P60174
DB00568	targets	O60840
DB01039	targets	P11712
DB06209	targets	Q9H244
DB08363	targets	P04637
DB01812	targets	O00204
DB07764	targets	P01857
DB00856	targets	P08684
DB04464	targets	P00395
DB00546	targets	O14764
DB08342	targets	O75865
DB06176	targets	P04798
DB04896	targets	O60391
DB00829	targets	P23219
DB00241	targets	P43681
DB07768	targets	Q04828
DB08092	targets	Q16539
DB01544	targets	P22309
DB01107	targets	P31644
DB01045	targets	P11712
DB07015	targets	P27487
DB01381	targets	P47870
DB08387	targets	Q9Y233
DB00482	targets	P11712
DB04510	targets	P15259
DB04957	targets	P04798
DB00108	targets	P00736
DB00255	targets	P08684
DB00277	targets	P10632
DB00196	targets	P33261
DB02646	targets	P02144
DB00051	targets	P01375
DB01136	targets	P25100
DB01612	targets	P05091
DB01393	targets	P04798
DB07800	targets	P00742
DB06991	targets	Q16539
DB04141	targets	P47985
DB05492	targets	P25100
DB01253	targets	P08684
DB01136	targets	P05177
DB00515	targets	P30711
DB00342	targets	Q12809
DB07341	targets	P16442
DB00628	targets	P78334
DB00736	targets	P20648
DB06262	targets	P35348
DB00669	targets	P21397
DB00608	targets	Q9NR96
DB00726	targets	P18089
DB00625	targets	P10635
DB00997	targets	O75251
DB00571	targets	P08588
DB00805	targets	P21728
DB04432	targets	P07477
DB00446	targets	P08174
DB06912	targets	P61626
DB00119	targets	O15375
DB00655	targets	P05177
DB00909	targets	O43497
DB00688	targets	P19224
DB00277	targets	O76074
DB02379	targets	P06737
DB01097	targets	P05177
DB08822	targets	P30556
DB00114	targets	P35520
DB00458	targets	P31645
DB01041	targets	P23219
DB00371	targets	Q99928
DB00158	targets	P14207
DB03042	targets	P06744
DB00316	targets	P49888
DB00829	targets	P24046
DB00172	targets	P07814
DB08178	targets	P20248
DB00072	targets	P00533
DB00041	targets	P01589
DB00490	targets	P08908
DB01195	targets	P11712
DB01034	targets	P49327
DB03924	targets	P68400
DB02196	targets	Q9UBQ6
DB00203	targets	P04798
DB08836	targets	P12821
DB01007	targets	P11712
DB00544	targets	O95045
DB01398	targets	P23219
DB01015	targets	P08684
DB04753	targets	P00491
DB07672	targets	P01857
DB07368	targets	P07477
DB05198	targets	O14965
DB00169	targets	P05108
DB07204	targets	P17612
DB08881	targets	P15056
DB00543	targets	P35367
DB00755	targets	Q02928
DB01161	targets	Q9Y5Y9
DB04272	targets	P62312
DB00706	targets	P10635
DB08162	targets	P61925
DB00306	targets	Q16445
DB01128	targets	P33261
DB02726	targets	P30613
DB08330	targets	P00156
DB00402	targets	P31644
DB09280	targets	P13569
DB01613	targets	P16066
DB03777	targets	O15530
DB00139	targets	Q8IVL6
DB01942	targets	P09601
DB00780	targets	P10632
DB08371	targets	P54577
DB07515	targets	P00734
DB04841	targets	O43497
DB02719	targets	P11217
DB07888	targets	P14174
DB01049	targets	P34969
DB05343	targets	P04271
DB06144	targets	P08684
DB08846	targets	P68400
DB00108	targets	P13612
DB03612	targets	Q16836
DB01535	targets	P35372
DB01873	targets	P07437
DB03944	targets	P63316
DB03305	targets	P29474
DB01618	targets	P08908
DB00608	targets	P09210
DB01356	targets	P49841
DB00812	targets	P23219
DB00568	targets	P08173
DB05360	targets	P30542
DB00907	targets	Q01959
DB06204	targets	P46098
DB00312	targets	P31644
DB00829	targets	P48169
DB00624	targets	P11712
DB01195	targets	P10635
DB06207	targets	P35368
DB00988	targets	P08908
DB04464	targets	P03989
DB05773	targets	P20815
DB01367	targets	P10415
DB00637	targets	P51589
DB00296	targets	P20813
DB09303	targets	Q8NBP7
DB01181	targets	P10632
DB01589	targets	P18507
DB00054	targets	P02745
DB00509	targets	P10828
DB06843	targets	P63092
DB01588	targets	Q8N1C3
DB01151	targets	P08684
DB00232	targets	Q13621
DB07664	targets	P49761
DB01050	targets	P06133
DB01015	targets	P10632
DB05299	targets	P60568
DB01015	targets	P11245
DB06741	targets	P22309
DB07957	targets	Q9UNI1
DB00157	targets	Q86Y39
DB00669	targets	P28221
DB01672	targets	P80188
DB07261	targets	P00742
DB01115	targets	Q01668
DB01016	targets	Q15842
DB00201	targets	Q9HCR9
DB01717	targets	Q96MA6
DB00449	targets	P35348
DB01087	targets	Q16678
DB08547	targets	P01859
DB03796	targets	P00709
DB00418	targets	P10632
DB09076	targets	P08172
DB00519	targets	P12821
DB00382	targets	P05177
DB00203	targets	P08684
DB00292	targets	P19099
DB01224	targets	P08913
DB04518	targets	P24941
DB03448	targets	P34096
DB01622	targets	P28223
DB02671	targets	P02144
DB06986	targets	P11217
DB00131	targets	Q9NR19
DB08562	targets	P01857
DB04367	targets	P49759
DB04522	targets	P13569
DB08889	targets	P20618
DB02925	targets	Q13621
DB01013	targets	P05177
DB06738	targets	P41143
DB01388	targets	O95180
DB00087	targets	P02747
DB08875	targets	P08581
DB07002	targets	P35228
DB03006	targets	P61626
DB01454	targets	P28223
DB00259	targets	P05181
DB01221	targets	P20813
DB00038	targets	Q14626
DB01058	targets	P10635
DB00715	targets	P11229
DB08348	targets	P13639
DB01611	targets	Q9NYK1
DB01291	targets	P08588
DB00776	targets	P20815
DB00333	targets	P33260
DB00949	targets	Q13224
DB04315	targets	Q96KC2
DB01454	targets	P28335
DB07092	targets	P27487
DB07333	targets	P35968
DB02059	targets	Q9NXA8
DB01213	targets	P00325
DB00738	targets	P08684
DB01380	targets	P04150
DB00783	targets	P11712
DB02420	targets	P18031
DB07662	targets	P12931
DB05487	targets	P19838
DB00353	targets	P08684
DB04868	targets	P00519
DB00497	targets	P19652
DB01394	targets	P11712
DB04137	targets	P16118
DB00114	targets	Q8IUZ5
DB00009	targets	Q03405
DB01215	targets	P24046
DB02153	targets	P51003
DB03747	targets	P07686
DB00126	targets	Q9GZT9
DB01351	targets	P43681
DB01110	targets	Q9UGI6
DB01708	targets	Q16445
DB07978	targets	Q02127
DB05294	targets	Q01740
DB05790	targets	P25103
DB00758	targets	P20815
DB00543	targets	P14416
DB00751	targets	P28223
DB00788	targets	P05177
